city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Juba,81,EE,1574454589,50,57.82,26.93,30.2,10.29
Codrington,40,AU,1574454589,93,-28.95,153.24,71.6,6.93
Bethel,90,US,1574454437,92,60.79,-161.76,24.8,10.29
Rikitea,61,PF,1574454604,83,-23.12,-134.97,72.61,15.5
Penzance,75,GB,1574454604,93,50.12,-5.53,52.0,10.29
Comodoro Rivadavia,0,AR,1574454604,39,-45.87,-67.48,66.2,11.41
Clyde River,90,CA,1574454604,92,70.47,-68.59,14.0,11.41
Tuktoyaktuk,90,CA,1574454604,85,69.44,-133.03,10.4,3.36
Punta Arenas,40,CL,1574454389,38,-53.16,-70.91,60.8,29.97
Ucluelet,75,CA,1574454437,81,48.94,-125.55,48.0,4.7
Carnarvon,0,ZA,1574454605,32,-30.97,22.13,63.45,14.05
Puerto Ayora,20,EC,1574454605,61,-0.74,-90.35,77.0,19.46
Saint-Philippe,75,CA,1574454626,59,45.36,-73.48,35.6,24.16
Ushuaia,75,AR,1574454450,47,-54.81,-68.31,57.2,5.82
Tasiilaq,20,GL,1574454626,68,65.61,-37.64,26.6,2.24
Grindavik,90,IS,1574454626,100,63.84,-22.43,44.6,1.12
Port Perry,90,CA,1574454626,69,44.1,-78.95,37.4,17.22
Meulaboh,100,ID,1574454626,90,4.14,96.13,77.74,6.89
New Norfolk,75,AU,1574454627,50,-42.78,147.06,57.99,8.05
Busselton,0,AU,1574454627,60,-33.64,115.35,57.0,9.55
Thinadhoo,53,MV,1574454627,78,0.53,72.93,82.09,13.38
Mataura,100,NZ,1574454628,82,-46.19,168.86,54.0,1.01
Bath,20,GB,1574454604,87,51.38,-2.36,48.2,17.22
Narsaq,75,GL,1574454628,49,60.91,-46.05,26.6,2.24
Kodiak,75,US,1574454628,69,39.95,-94.76,34.0,4.7
Sault Sainte Marie,90,CA,1574454628,63,46.49,-84.36,28.4,4.7
Barrow,33,AR,1574454628,36,-38.31,-60.23,60.91,13.73
Ponta do Sol,100,BR,1574454628,87,-20.63,-46.0,71.62,3.29
Hegang,100,CN,1574454629,92,47.34,130.28,37.67,16.31
Seminole,75,US,1574454629,66,32.72,-102.64,53.6,8.05
Ancud,81,CL,1574454629,14,-41.87,-73.83,69.8,8.05
Dudinka,100,RU,1574454629,84,69.41,86.18,-0.4,15.66
Sanmenxia,43,CN,1574454630,70,34.77,111.19,43.05,2.75
Arraial do Cabo,20,BR,1574454630,83,-22.97,-42.02,78.8,25.28
Prince Albert,75,CA,1574454631,56,53.2,-105.75,41.0,6.93
Cidreira,81,BR,1574454632,87,-30.17,-50.22,73.87,3.42
Avera,1,US,1574454632,53,33.19,-82.53,71.6,12.75
Funtua,100,NG,1574454635,22,11.52,7.31,79.14,5.35
Aklavik,90,CA,1574454636,84,68.22,-135.01,1.4,6.93
Rijeka,75,HR,1574454636,93,45.33,14.44,53.6,4.7
Saint-Joseph,100,FR,1574454636,93,43.56,6.97,57.2,9.17
