city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Khandyga,35,RU,1574706657,95,62.65,135.58,-42.95,1.12
Inuvik,90,CA,1574706658,92,68.36,-133.71,6.8,3.36
Ponta do Sol,85,BR,1574706658,70,-20.63,-46.0,76.35,2.68
Busselton,21,AU,1574706658,44,-33.64,115.35,59.0,11.72
Puerto Ayora,20,EC,1574706658,57,-0.74,-90.35,80.6,17.22
Xinzhou,59,CN,1574706658,21,38.41,112.73,19.98,0.07
Sharlyk,95,RU,1574706658,94,52.93,54.74,15.3,5.08
Avarua,100,CK,1574706658,94,-21.21,-159.78,71.6,6.93
Ushuaia,75,AR,1574706658,54,-54.81,-68.31,57.2,9.17
Bredasdorp,1,ZA,1574706658,63,-34.53,20.04,66.2,21.92
Zarinsk,100,RU,1574706658,90,53.71,84.95,10.89,5.14
Ixtapa,75,MX,1574706659,51,20.71,-105.21,86.0,3.36
Hermanus,0,ZA,1574706659,85,-34.42,19.24,64.99,3.0
Verkhovazhye,97,RU,1574706659,80,60.75,42.05,19.33,5.79
Bluff,0,AU,1574706659,84,-23.58,149.07,68.13,7.47
La Union,47,GT,1574706659,52,14.97,-89.29,82.0,1.99
Vila,36,IT,1574706659,100,45.18,8.4,55.0,3.36
Chokurdakh,96,RU,1574706659,99,70.62,147.9,-31.43,7.76
Mustasaari,90,FI,1574706659,91,63.17,21.67,34.0,9.17
Hobart,75,AU,1574706489,93,-42.88,147.33,53.01,10.29
Vaini,0,IN,1574706660,75,15.34,74.49,68.07,7.54
Hilo,75,US,1574706522,83,19.71,-155.08,75.99,6.93
Qaanaaq,100,GL,1574706660,83,77.48,-69.36,11.46,2.28
Mar del Plata,0,AR,1574706660,20,-46.43,-67.52,70.5,24.09
Barrow,100,AR,1574706660,91,-38.31,-60.23,59.27,11.27
Rikitea,100,PF,1574706660,67,-23.12,-134.97,72.55,12.86
Yellowknife,75,CA,1574706660,84,62.45,-114.38,1.0,8.05
Jamestown,65,AU,1574706525,72,-33.21,138.6,50.4,20.6
Svetlogorsk,0,RU,1574706660,92,53.14,59.15,12.2,2.24
Mataura,24,NZ,1574706660,78,-46.19,168.86,57.0,8.01
Sitka,8,US,1574706660,43,37.17,-99.65,53.01,5.01
Qaqortoq,20,GL,1574706661,45,60.72,-46.03,26.6,4.7
Tasiilaq,22,GL,1574706661,42,65.61,-37.64,30.2,3.36
Ribeira Grande,40,PT,1574706661,68,38.52,-28.7,66.2,24.16
Punta Arenas,90,CL,1574706662,87,-53.16,-70.91,50.0,17.22
Namibe,59,AO,1574706662,73,-15.19,12.15,72.82,5.59
Khatanga,100,RU,1574706662,96,71.98,102.47,-8.18,9.55
West Wendover,90,US,1574706503,59,40.74,-114.07,33.8,17.22
Bethel,90,US,1574706662,92,60.79,-161.76,23.0,10.29
Tarko-Sale,99,RU,1574706662,87,64.92,77.78,7.0,4.0
Port Alfred,26,ZA,1574706666,85,-33.59,26.89,66.99,4.0
Pombia,40,GR,1574706667,87,35.01,24.87,61.0,8.05
Kapaa,1,US,1574706417,78,22.08,-159.32,78.8,6.93
Saldanha,100,PT,1574706667,90,41.42,-6.55,50.09,5.06
Waipawa,0,NZ,1574706669,94,-39.94,176.59,51.01,1.99
Castro,75,CL,1574706670,81,-42.48,-73.76,53.6,12.75
Mahebourg,40,MU,1574706670,83,-20.41,57.7,79.0,11.41
Komsomolskiy,100,RU,1574706671,94,67.55,63.78,10.99,15.52
Abu Samrah,100,SY,1574706671,40,35.3,37.18,56.68,7.43
Gat,0,SN,1574706671,19,14.69,-16.54,100.4,6.64
Georgetown,40,GY,1574706454,66,6.8,-58.16,89.6,9.17
Longyearbyen,75,NO,1574706671,78,78.22,15.63,14.0,6.93
Albany,75,US,1574706671,61,42.65,-73.75,48.99,6.93
Carnarvon,0,ZA,1574706671,8,-30.97,22.13,73.02,13.24
Torbay,90,CA,1574706672,100,47.66,-52.73,39.99,25.28
Kaeo,53,NZ,1574706672,100,-35.1,173.78,53.01,9.15
Pervomayskoye,33,RU,1574706672,98,57.07,86.23,-2.79,5.08
Shiyan,73,CN,1574706672,49,32.65,110.78,33.89,3.04
Vila Franca do Campo,75,PT,1574706672,77,37.72,-25.43,66.2,17.22
Fukue,75,JP,1574706672,62,35.03,136.69,55.4,24.16
Kavieng,85,PG,1574706672,72,-2.57,150.8,83.12,11.72
Turukhansk,100,RU,1574706672,94,65.8,87.96,4.69,14.38
Fort Dodge,90,US,1574706673,65,42.5,-94.17,51.01,8.05
Leningradskiy,100,RU,1574706673,76,69.38,178.42,4.42,11.65
Jumla,6,NP,1574706673,59,29.28,82.18,33.22,4.14
Petatlan,5,MX,1574706673,62,17.52,-101.27,89.6,8.05
Lhokseumawe,100,ID,1574706673,90,5.18,97.15,71.51,2.84
Jamame,100,SO,1574706673,85,0.07,42.75,77.54,7.45
San Rafael,77,AR,1574706673,46,-34.61,-68.33,69.3,8.99
Tabas,85,IR,1574706673,45,33.6,56.92,46.4,5.06
Kupang,95,ID,1574706674,75,-10.16,123.6,82.71,7.14
Verkhoshizhemye,99,RU,1574706674,65,58.01,49.1,19.89,5.61
Nizhniy Lomov,84,RU,1574706674,33,53.53,43.67,22.64,6.69
Sawakin,17,SD,1574706674,61,19.1,37.33,78.8,6.93
Vagur,100,FO,1574706600,93,61.47,-6.81,46.81,21.12
Severo-Kurilsk,92,RU,1574706674,84,50.68,156.12,19.74,31.56
Oranjemund,0,ZA,1574706674,49,-28.55,16.43,67.91,19.57
Boende,36,CD,1574706674,76,-0.28,20.88,76.44,2.42
Alta Floresta,75,BR,1574706675,55,-9.87,-56.08,91.4,2.24
